sortid,genelist,drdist,FC,pValues,pAdjusted
4661,GCH1,0.597074374773008,1825.00892424785,0,0
6179,PLEK,0.380279479554181,1162.35677365748,9.25403424847992e-255,5.4510888740671e-251
9477,CCL4,0.326256064805174,997.229583141617,7.18547521330835e-219,2.82173611626619e-215
4664,CREM,0.269530876062282,823.844189195043,3.53182597620445e-181,1.04021104564161e-177
4042,NR4A3,0.260388013190359,795.898246378829,4.20590099917682e-175,9.90994393426042e-172
4435,FDX1,0.248259068395572,758.825088615843,4.83642448940916e-167,9.49631948495489e-164
5463,RABGEF1,0.221521864894228,677.100537938327,2.8540446936458e-149,4.80335721940588e-146
1536,SLA,0.184549714680952,564.091996726834,1.08262447970569e-124,1.5942998744266e-121
6180,HSPA1B,0.174680009366584,533.924397781951,3.95531153929554e-118,5.17750280493786e-115
4436,NEDD9,0.164714134900863,503.462849595783,1.67698532655968e-111,1.97565641321995e-108
8870,SPRED1,0.127711945305316,390.362490441604,6.90180597496938e-87,7.39183419919221e-84
8112,MAP2K3,0.0814886327838921,249.076979918787,4.12731713209614e-56,4.05199359443539e-53
2579,CLEC2D,0.0789593316503088,241.345954545852,2.00092452060526e-54,1.81329936748081e-51
6182,CSF2RB2,0.0696200342518792,212.79959278846,3.36583477029632e-48,2.83234995920435e-45
8579,EMP1,0.051088917692208,156.157649126862,7.82019926073473e-36,6.14198449938106e-33
2190,SMAD7,0.0499596674000103,152.705998967275,4.44147059367094e-35,3.27031031650233e-32
3765,P2RY10B,0.0483706997259117,147.849183287195,5.11798537632361e-34,3.54676386579226e-31
1106,CDKN1A,0.0459839408346073,140.553850476581,2.0141930547064e-32,1.31828935430534e-29
8572,BHLHE40,0.0346635931661853,105.952239030247,7.55339407710901e-25,4.68350187486427e-22
919,SLCO2B1,0.0338396222276817,103.4337013411,2.69255350005954e-24,1.58604863921007e-21
10678,PIM1,0.0280343153385652,85.6892840150957,2.10550826735806e-20,1.18119013798787e-17
4868,REL,0.0235862555391236,72.0934085721824,2.05248187449068e-17,1.09910404378976e-14
6729,CSF1,0.0216946429133329,66.3115326968354,3.84999481290437e-16,1.97203429960115e-13
1434,RAB32,0.0200522950154189,61.2915557943729,4.92186742925566e-15,2.41602167433587e-12
10688,MAOB,0.0191081920526565,58.4058242921538,2.13258733986475e-14,1.00496045803786e-11
5889,DNAJB6,0.0162012445846528,49.5204905790074,1.9631059234131e-12,8.89513495528068e-10
2052,HDLBP,0.0153646100693,46.963245583469,7.2330496933424e-12,3.15602068286173e-09
3622,KDM6B,0.0137455411996947,42.0144230232563,9.06026762260886e-11,3.81210760221268e-08
